GeneListSamples
RP11-132A1.3
UTF1
VSNL1
SPP1
KIF1A
TTYH1
CBR3
FOXD3-AS1
LECT1
POLR3G
LEFTY1
UCHL1
GDF3
CLU
FERMT1
NANOG
C9orf135
CLDN10
THY1
TUBB6
SOX2
RP11-568A7.4
DPYSL3
FGF8
MLLT11
SLC7A5
SCN9A
NNAT
BID
GPATCH4
CALD1
FGFBP3
FEZ1
DHRS2
AEN
PPARGC1B
CA4
NQO1
TSPAN13
EPN3
GRIA4
CCDC172
DPPA4
IDI1
PDPN
GPM6B
PARM1
CAV1
IDO1
CYP2B6
CEND1
PIF1
HMGN5
TK1
RP11-1144P22.1
SCNN1B
SNTG1
HELLS
CDH6
RHBDL3
FAM198A
NDUFAF8
YDJC
GINS2
ITGAE
LINC01108
TWISTNB
PNO1
CENPM
CHORDC1
RRP1B
GDPD2
NDUFAF4
SEPHS1
ACOT7
PGP
UBE2T
EXOSC4
AF003625.3
TRIM54
TARS
LYAR
CMC2
SOCS1
RP5-1185K9.1
FILIP1
POU3F4
RBPMS2
SLC27A2
VGLL3
ST8SIA5
KNSTRN
L1TD1
MAGOHB
DDX39A
CHST13
KLHDC7A
CENPF
LY6H
AURKB
EXPH5
HN1
CCNB1
SYK
LINC00678
RARRES3
MIR219A2
DTYMK
STIP1
TEX14
DLEU7
PVALB
TERF1
DEPTOR
EMG1
PRUNE2
TMEM171
NAAA
MCM7
SCGB3A2
SPIB
HNRNPAB
CTB-178M22.2
SGK1
CTC-254B4.1
SEMG1
PSAT1
COBL
C1QL2
CDK1
BICDL1
DNMT3B
ZWINT
ATP1A3
TAP2
GLS2
LAMA3
SHC3
RDH12
THRB
WDR74
TOMM40
UQCRQ
AP001258.4
FAM212A
AIM1
PNPLA5
TNFSF11
RGN
ACSBG1
MINOS1
C1QTNF9B-AS1
RALY
ANGPT1
ACTG2
USP2-AS1
VSTM2A
CTC-304I17.5
CYB5A
RDH10
MPV17L
H2AFJ
HRH3
PDCD6
BTBD11
CEBPA
ATP2A3
CD24
TMEM100
GHRHR
SLIRP
TAP1
CYCS
G0S2
ADAMTS5
PGRMC1
ERG
SNRNP40
CHRDL1
AK5
SRM
STAR
ZFYVE28
PCLO
CCDC177
AC093627.7
CD247
FRMD5
RP11-62F24.2
USP2
PARP1
AC108142.1
HRAT92
CCDC85B
ADRM1
STAC
CLEC4G
ATP5G1
CCND1
NEUROG3
RP11-64C12.8
PSMC3
PCNA
ANAPC15
CHCHD10
LINP1
CKS2
SRSF2
ACTRT3
MRPL20
FAM155B
CLDN9
CTD-2168K21.2
DNAJB6
KPNA2
CITED1
SLC25A48
BTBD17
RP11-96B5.3
HIST1H4H
REXO2
MEF2C
DNAJA1
RP11-20D14.6
KCNQ4
RP11-344P13.6
MCOLN2
TNFRSF12A
GRHL1
LRFN1
ISCU
EBNA1BP2
FDPS
NDUFA5
IGFBP3
ATP2C2
HCN4
MSC
NUDT1
NGF
COL5A3
SH2D5
C21orf59
HNRNPM
PMAIP1
MX1
PTPRB
ABRACL
MIR519A2
DUT
SNRPB2
POU5F1
KBTBD11-OT1
CENPX
FRAT1
NDUFS6
KIF5A
PLA2G2A
PAH
TPM1
IL12A
TUBA1A
CDH4
RGS7BP
MLKL
PROC
CAMK2N2
SIVA1
TRPM3
PGAM2
NDUFS7
SERTM1
NCL
MEX3B
SLC19A3
ARSJ
TDRG1
PLPPR5
CPLX2
GPR153
PHF5A
EEF1E1
MEF2C-AS1
CCM2L
SLC45A3
AF131216.5
PLA2G16
SNAI3
POP7
PPP4R4
RP3-508I15.21
SPTBN2
POLR2L
BHMT
NME1
TMC3-AS1
NEURL1B
EMC6
TINAGL1
CORO2B
CXCL5
RP11-568A7.2
HID1
PPP2R2C
CR2
RIMS4
MGAT4C
LYPD3
PYDC1
EIF4E
EIF4EBP1
SNCAIP
E2F2
ERH
HUS1B
RAC3
SLC30A3
SLC12A1
TLR3
THBS1
RP11-801F7.1
CNKSR2
CENPV
GCK
MAP1A
RARRES2
NOVA2
MAPK8IP2
TAC1
UBE2C
MRPL12
MCTP1
RBMS3
OLFML2B
TMEM200A
EIF5B
CKS1B
MACC1
COL14A1
LCN2
H2AFZ
PKI55
ADNP-AS1
MYRFL
IGSF5
CTD-2377O17.1
CA7
MYLK
RP11-92A5.2
AMER2
NDUFAB1
C1orf167
CHCHD1
CLCN1
CTC-479C5.12
CGREF1
PRR36
ANKRD13B
TMEM253
MRPL11
AC108448.3
TUBB4A
ABCA3
PIK3R3
LINC-ROR
SERPINA11
MTMR7
STAMBPL1
EGFR
LSM3
SRSF7
MLEC
KCNAB1
LA16c-380H5.5
ADGRA2
CACNG6
LINC01484
SNRPN
TMEM151B
UQCRFS1
TRIM7
POU3F1
PTTG1
SLA
PDCD5
NDUFB2
ZNF469
MGST1
DCDC2
MGLL
CACNG4
HMGB2
TEX15
ERICH5
RASL11A
RP11-7F17.8
RHEB
PPP1R16B
CTC-534A2.2
TMEM151A
RIMS3
SYT14
TNFRSF13C
KLK10
HMGB1
IL15RA
SRI
LKAAEAR1
ATPIF1
PDAP1
MANEAL
OAZ2
NHP2
C1QTNF2
DYNLL1
PLXNC1
TNN
PHYHIP
GPRIN1
RP4-545C24.1
BTNL9
FGF16
REEP1
SF3B5
EPAS1
RIT2
ENSA
AC144450.2
CORO6
CD53
RP11-420N3.2
MFSD6
TMSB4X
RP11-443B20.1
PSMB8-AS1
PEBP1
BCL2
TIMM13
TMCC2
NPM3
KITLG
OCIAD2
RANBP1
MAD2L2
ACAT2
VPS9D1-AS1
HSPE1
RP11-49I11.1
SSBP1
FBLL1
NASP
C1orf116
RP11-498B4.5
RBX1
NDUFS5
RP11-1263C18.2
XK
CALM2
ZDHHC14
KIF25-AS1
FOXI3
EIF5
TMEM170B
FXYD3
CKB
SLC46A1
MOCOS
SORCS2
MATN2
LINC01508
PAQR9-AS1
MRPL51
PTMA
DBI
RP11-1081M5.1
SMIM10L2B
LRRC17
FHOD3
CHD5
REC114
DOPEY2
OAZ1
TUFM
WNT9A
BST1
RP11-138A9.1
ADAP2
KCNQ3
HMGN3
NRN1L
CALCA
AVP
NXNL2
ATP5I
OLIG3
HMGB3
RP13-753N3.3
RP11-491F9.1
