GeneListSamples
RP4-669L17.10_ENSG00000237094
RP11-54O7.2_ENSG00000241180
SDF4_ENSG00000078808
B3GALT6_ENSG00000176022
FAM132A_ENSG00000184163
UBE2J2_ENSG00000160087
SCNN1D_ENSG00000162572
ACAP3_ENSG00000131584
PUSL1_ENSG00000169972
CPSF3L_ENSG00000127054
CPTP_ENSG00000224051
ENO1_ENSG00000074800
